"","ZCTA5CE10","max99_1","max99_2","max99_3","max975_1","max975_2","max975_3","max95_1","max95_2","max95_3","min99_1","min99_2","min99_3","min975_1","min975_2","min975_3","min95_1","min95_2","min95_3","diff01_1","diff01_2","diff01_3","diff025_1","diff025_2","diff025_3","diff05_1","diff05_2","diff05_3","hi95","hi95_2","hi95_3","hi975","hi975_2","hi975_3","hi99","hi99_2","hi99_3","max99_1_SNR","max99_2_SNR","max99_3_SNR","max975_1_SNR","max975_2_SNR","max975_3_SNR","max95_1_SNR","max95_2_SNR","max95_3_SNR","min99_1_SNR","min99_2_SNR","min99_3_SNR","min975_1_SNR","min975_2_SNR","min975_3_SNR","min95_1_SNR","min95_2_SNR","min95_3_SNR","diff01_1_SNR","diff01_2_SNR","diff01_3_SNR","diff025_1_SNR","diff025_2_SNR","diff025_3_SNR","diff05_1_SNR","diff05_2_SNR","diff05_3_SNR","hi95_SNR","hi95_2_SNR","hi95_3_SNR","hi975_SNR","hi975_2_SNR","hi975_3_SNR","hi99_SNR","hi99_2_SNR","hi99_3_SNR"
"1","90001",0.0844213841495041,0.709485251770098,2.7001541775071,-0.0262130925056994,0.283529580759691,0.596559675226043,0.0135502100687355,-0.0993018842760933,0.0984262623174528,-0.346267693600585,-0.68245036887754,-0.952931812610561,0.0558935077402769,-0.0289272262390058,-0.610336267380336,-0.100697961036482,-0.189593684780275,-0.240565952189852,-0.573293916661393,1.42488472842335,0.800184022110964,-0.177551847441396,0.179786069916965,0.140674433905452,-0.297037263671289,0.254363622325566,0.75535194740933,0,0,0,0,0,0,0,0,0,2.28336565603563,11.0158173475409,26.6152058733214,-1.02054964728886,7.68961063736241,11.4197216439458,0.785441425895962,-4.23510046820308,3.10431654219281,-8.15401743715126,-11.243439582243,-8.68795723477796,1.94260179936747,-0.642525997321999,-8.84145856844319,-4.98724699536767,-6.74593812002946,-6.15502029075733,-14.4203099292636,14.5501085519746,5.0417264423421,-8.01583001378753,3.24560698325227,1.57341335811375,-17.4371119263005,7.62916876840861,12.1544844954418,0,0,0,0,0,0,0,0,0
"2","90002",1.59944708332729,0.935229163865121,0.932336252045292,0.503879859390873,0.734471938270837,1.08382490592679,0.256094352509867,0.440890452005146,0.484628587755451,0.485604932534476,0.821705615711992,0.746288647322217,-0.145046234478242,0.55199747176574,0.237957856980396,0.106545090992157,0.159103996225148,0.199934485536192,1.43416812483844,-0.403170646295315,1.53447409210398,0.676048809537777,1.18872388969972,1.11928463752166,0.373489136225249,0.279789760971669,0.37959071955484,0,0,0,0,0,0,0,0,0,43.2606332567144,14.5208284760371,9.18996459463512,19.617464542404,19.9196260730145,20.7472600821869,14.8445752780882,18.803423251484,15.2849504427643,11.772583113045,13.9966269759059,6.97979556655837,-5.16523930493853,12.661531483858,3.54350870783876,5.40466324174036,5.80903559991327,5.27176379849282,36.0742513565797,-4.1169482355654,9.66827428625749,30.5211824960983,21.4595633541026,12.5189585009578,21.9251005450414,8.39177900758737,6.10805271803012,0,0,0,0,0,0,0,0,0
"3","90003",-0.100106414886436,0.154205265456291,0,0.127395690141448,0.0983361495081658,0.688421985050166,0.0202257136354827,-0.0359830162339601,0.436934535764741,-0.470035079737587,-0.385589383335145,-0.757505598729048,-0.232889993363608,-0.0298996611848041,-0.15621295329647,-0.404554181837242,-0.651788672668216,-0.814921790241652,0.168089341962446,-0.975898517036942,0,0.237716295672702,-0.183675242461483,-2.01051280879782,-0.0279008192745624,-0.20958714361088,-0.568970984456873,0,0,0,0,0,0,0,0,0,-2.70760248725305,2.39426687736986,0,4.95987364374145,2.66697640249449,13.1782079301063,1.17238871405183,-1.53463038501971,13.7807031913403,-10.5394432581144,-6.01036457171678,-6.610450844599,-7.76182391072885,-0.629451160847224,-2.16261645143193,-19.2335226367079,-22.2147815765365,-19.8335593973612,4.22802394454167,-9.96531794842828,0,10.7320393737304,-3.31581668067427,-22.4871543620172,-1.63787432766151,-6.28618068762022,-9.15539972148869,0,0,0,0,0,0,0,0,0
"4","90004",0.695221437269914,1.30695307415321,-0.882941897872398,0.617734172113708,0.2081399037629,-0.503637552156671,0.357269374570829,0.255857611663832,-0.146704125260724,-0.419815385271863,-0.253185526742414,-0.45282285864927,-0.102823878354386,-0.168633254951488,-0.245346227429549,-0.0364269578050103,-0.449503398382685,-0.521738498779134,-0.55386021067777,-0.31976901753844,0,-0.364188265363984,-0.203117288968817,-1.55753987358662,-0.221251115145563,-0.575214875581326,-0.186687500723013,0,0,0,0,0,0,0,0,0,18.8038228606937,20.2923969325075,-8.70308835762518,24.0501341584114,5.64496591059865,-9.64094774405955,20.7092115597037,10.9120053345421,-4.62697690770726,-9.62604292200996,-4.04703388275425,-4.03173464330383,-3.49357762314433,-3.63770046239396,-3.46709401900495,-1.76458147151577,-15.6232078747986,-12.9897359071143,-13.931485514398,-3.26529846515431,0,-16.4417958486036,-3.666796275156,-17.4207492780322,-12.98820360425,-17.252511675165,-3.00401732042005,0,0,0,0,0,0,0,0,0
"5","90005",-0.0809206814124078,-0.863578044125639,-0.54951421447627,-0.243061581615083,-0.260063991588898,-0.652405754399359,0.0109945967225074,0.0196183458597457,-0.10147657020278,-0.271683905135404,-0.0522989701545288,-0.244583062197645,-0.292425839635623,-0.337441098529436,0.0248048274034382,-0.00877534272047718,-0.0729471665713666,0.180875145326375,0.424573340791508,0,0,0.37731193637362,0.698207371877303,0.456317877843646,-0.0391829125810482,0.302579582653923,0.290271761426483,0,0,0,0,0,0,0,0,0,-2.18868129990473,-13.4083379121703,-5.4165180901282,-9.46307313159676,-7.05319998978119,-12.4887625220832,0.637304638309799,0.836697776096296,-3.20052177242559,-6.97101611690569,-0.951960245266346,-2.40063157104505,-10.9002132122288,-8.24877720291637,0.390955224676681,-0.466051196459046,-2.80495764646774,5.06610013744638,10.6794769384105,0,0,17.0342825925381,12.6044621975985,5.10381754959018,-2.30017211924723,9.07531777082025,4.67080760938433,0,0,0,0,0,0,0,0,0
"6","90006",-0.102424376183883,-0.524422721310058,-1.09165688148588,-0.024486681582942,-0.38701076595531,-1.54856659632445,0.159135124225171,0.0798023856871157,-0.0936758790112666,-0.441048975141147,-0.430549113732079,0.162482060752911,-0.358603788282006,-0.112925141359528,0.0349701771767976,-0.140154912176487,-0.439614360912345,-0.43317468177363,0.0873817566938064,0,0,-0.109308875377069,-0.0340418397825976,0.743071262941909,-0.122881000507905,-0.355929756867605,-0.189736990671703,0,0,0,0,0,0,0,0,0,-2.77029694875627,-8.14244538056152,-10.76037542071,-0.953335599274009,-10.4961256412467,-29.6436387029295,9.22430857141785,3.4034713787258,-2.9544917583197,-10.2749715467054,-7.00714961524502,1.46732245037386,-12.3505040262689,-2.47880788579363,0.501522653567903,-6.87985915568689,-15.4944951001393,-10.9614453661782,2.19795113303537,0,0,-4.93490423584624,-0.61454390193958,8.31109263200625,-7.21353857421506,-10.675458070675,-3.05308713274725,0,0,0,0,0,0,0,0,0
"7","90007",0.242839524702218,0.438072408272347,1.25813889288269,0.0541669495929698,-0.119880640057809,0.646769664743433,0.219941572151986,0.233474951196859,0.383302641390076,0.203125867174776,0.127549871196755,0.576729337144001,0.441227809232332,0.195630640898742,0.577877306864419,0.290582706386321,0.224864251832167,0.174564311141452,0.00799762742878286,0,0,-0.104341113735822,-0.765474975683287,-0.90577045083973,0.158884485370573,-0.466399042355886,0.303162555294544,0,0,0,0,0,0,0,0,0,6.56813953264611,6.80172790411897,12.4013754215402,2.10887217102672,-3.25128490132271,12.380872938352,12.7489700284017,9.9574130172428,12.089179273065,5.1494314101748,2.2887772272519,5.60418548442045,16.2921662237532,4.71737130905606,8.99422150081361,15.2842354862166,8.54948351374232,4.82567918841949,0.201167782999423,0,0,-4.71062758967733,-13.8188177077901,-10.1308481375784,9.32706731982709,-13.9887810018798,4.87823535844973,0,0,0,0,0,0,0,0,0
"8","90008",1.6468720319361,1.85815314997401,0,0.958934921492752,0.785824384856649,0.243129432733416,0.233798458833727,0.830341242619086,0.44734018766605,0.697034472057914,0.264302244174705,0.646006712527498,0.335083526369663,0.221176111255322,0.180083536009786,0.196514205062006,0.0820713135818068,-0.146064553743728,-0.053437598963273,-0.413235364473933,0,0.0318396885598766,-0.0338513124611577,2.64220225018177,0.311955962633177,0.0909784566814461,0.495377745225622,0,0,0,0,0,0,0,0,0,44.5433473460835,28.8506007035426,0,37.3340419750021,21.312356660288,4.65413698003308,13.5521880433679,35.4130096424667,14.1088924019125,18.200605552762,4.91276598431562,6.43151599778513,12.6577933559234,5.51569662683501,2.89323237996748,10.5829181584935,3.20948195557477,-4.17151600126357,-1.34413904723365,-4.21972338580929,0,1.43744790530635,-0.611104387380686,29.5524652195745,18.3128910133349,2.72873138842048,7.97119957707462,0,0,0,0,0,0,0,0,0
"9","90010",-0.129486354842245,-0.143346495141601,-0.185706770689905,-0.00119486838739058,-0.160787772594013,-0.160825361798103,0.020284965387738,-0.0490989528595341,-0.0402804091927228,0.207535936500074,0.262330276451047,0.375221563624193,0.0158677124321723,0.121330063776995,0.250428993644708,0.025570009364153,-0.00814958448585268,0.0596499495344619,0.0407914581158609,0,0,0.0205048115893572,-0.0798267632577222,-0.0992415972560022,-0.000593596949391796,0.0214933419480266,0.0543913662878428,0,0,0,0,0,0,0,0,0,-3.50224885022526,-2.22566826294188,-1.83049693056593,-0.0465195974508893,-4.36072794656531,-3.07862053251472,1.17582325717272,-2.0940085856332,-1.27042455579553,5.58915685537078,5.07781162209839,3.80385915720612,0.608857831530836,3.14191263256665,4.26292929796911,1.41019140912633,-0.333026472677718,1.78257548248611,1.02604519497233,0,0,0.925718805709857,-1.44108106039222,-1.10999597061173,-0.0348461883796156,0.644653239403605,0.875219850162414,0,0,0,0,0,0,0,0,0
"10","90011",0.0580166920185714,-1.12636139472998,-2.58489210368939,-0.0339468680289448,-0.21889116531254,-1.08630065971562,0.519159212322394,0.633264241145865,0.392478513961693,0.462859011381532,-0.397424440562657,-0.652564592923032,0.179628448245172,0.124505521223401,-0.71643222494685,-0.0157093156975886,-0.0299903325347408,-0.214752628761316,0.296119395178566,0,0,-0.0529719137494128,-0.16283233266379,0.884246622989335,-0.289345361374386,-0.488322630020483,-0.0521876401284645,0,0,0,0,0,0,0,0,0,1.56919154271863,-17.4884416000342,-25.4790767405485,-1.32164734801773,-5.93655106004113,-20.7946525230465,30.0931978120674,27.007923401699,12.3785818404535,8.31523573480105,-4.86234898131521,-4.63448068317748,4.90313659918787,2.06867350631148,-8.12553695097036,-0.615980356001824,-0.841567589365895,-4.1898785737902,7.44841926704605,0,0,-2.39149218799573,-2.93954785394074,9.8901087415321,-16.9855707303592,-14.6463386698082,-0.839759353200396,0,0,0,0,0,0,0,0,0
